req_count,iat_mean,iat_std,unique_path_ratio,path_entropy_mean,depth_mean,payload_len_mean,payload_len_std,error_rate_4xx,label
3,4390.166521072388,1496.4911937713623,0.3333333333333333,2.807354922057604,1.0,7.0,0.0,0.0,0
3,3431.536555290222,537.8612279891968,0.3333333333333333,2.807354922057604,1.0,7.0,0.0,0.0,0
3,3799.4229793548584,169.97480392456055,0.3333333333333333,2.807354922057604,1.0,7.0,0.0,0.0,0
3,3281.923294067383,347.52488136291504,0.3333333333333333,2.807354922057604,1.0,7.0,0.0,0.0,0
3,3586.863160133362,652.464747428894,0.6666666666666666,2.78823661470507,1.0,7.333333333333333,0.4714045207910317,0.0,0
3,1625.266671180725,483.6677312850952,1.0,1.7974391409262536,1.0,4.666666666666667,2.6246692913372702,0.0,0
3,2898.4880447387695,185.9574317932129,0.3333333333333333,2.807354922057604,1.0,7.0,0.0,0.0,0
4,3085.38285891215,304.8159894470047,0.25,2.8073549220576046,1.0,7.0,0.0,0.0,0
3,4569.957256317139,1110.7847690582275,0.3333333333333333,2.807354922057604,1.0,7.0,0.0,0.0,0
3,4557.654142379761,1123.0878829956055,0.3333333333333333,2.807354922057604,1.0,7.0,0.0,0.0,0
3,4557.145357131958,1391.9010162353516,0.3333333333333333,2.807354922057604,1.0,7.0,0.0,0.0,0
3,3064.837694168091,100.40664672851562,0.3333333333333333,2.807354922057604,1.0,7.0,0.0,0.0,0
3,4474.385976791382,743.274450302124,0.3333333333333333,2.807354922057604,1.0,7.0,0.0,0.0,0
3,4088.3026123046875,357.1910858154297,0.3333333333333333,2.807354922057604,1.0,7.0,0.0,0.0,0
4,3226.440906524658,1253.2630134855149,0.5,2.7517568167234923,1.0,6.75,0.4330127018922193,0.0,0
