req_count,iat_mean,iat_std,unique_path_ratio,path_entropy_mean,depth_mean,payload_len_mean,payload_len_std,error_rate_4xx,label
7,115.56549866994222,24.82512941173317,1.0,3.108997949146812,2.142857142857143,11.857142857142858,2.7479120088101925,1.0,1
8,120.0589793069022,25.48321511369125,1.0,3.1476601847602717,2.0,11.875,2.5708704751503917,1.0,1
9,122.44483828544617,24.658999015021298,1.0,3.0851382198670367,1.8888888888888888,11.222222222222221,3.0469576001782417,1.0,1
10,124.44543838500977,23.927442900907018,1.0,3.1017873146191155,1.9,11.3,2.9,1.0,1
11,129.82454299926758,27.851089196990415,1.0,3.1177715075463883,1.8181818181818181,11.272727272727273,2.7663861917641706,1.0,1
12,129.0011622688987,26.68231766472264,0.9166666666666666,3.1289263125331748,1.8333333333333333,11.333333333333334,2.656229575084871,1.0,1
13,130.44488430023193,25.99124665419236,0.9230769230769231,3.137581678581817,2.0,12.0,3.4418242032610915,1.0,1
14,131.4273063953106,25.20241552318257,0.9285714285714286,3.1388714916995135,2.0,12.285714285714286,3.4729273660409197,1.0,1
15,132.9306193760463,24.883175055397537,0.8666666666666667,3.1399893297348505,2.0,12.533333333333333,3.4807406619217636,1.0,1
16,134.1792901357015,24.489237270808797,0.8125,3.105300152921494,1.9375,12.125,3.7228181529588578,1.0,1
17,134.99842584133148,23.922893225693183,0.8235294117647058,3.118939869874528,1.9411764705882353,12.411764705882353,3.789440801977978,1.0,1
18,135.67064790164724,23.363859930097554,0.8333333333333334,3.1466029107679554,1.9444444444444444,12.666666666666666,3.829708431025352,1.0,1
19,135.95840666029187,22.736568105314376,0.8421052631578947,3.151460718443465,1.894736842105263,12.68421052631579,3.7283075259841763,1.0,1
20,136.45490847135844,22.230177841331123,0.85,3.160621639573871,1.85,12.7,3.634556369077249,1.0,1
21,135.49193143844604,22.070136770459023,0.8095238095238095,3.1823479713063643,1.8571428571428572,12.904761904761905,3.663263727031791,1.0,1
22,135.24209885370163,21.567207908020457,0.8181818181818182,3.1866782197387624,1.8181818181818181,12.818181818181818,3.600964058243338,1.0,1
23,135.44520464810458,21.091889870863596,0.782608695652174,3.216605253663164,1.7826086956521738,12.956521739130435,3.5810887446911304,1.0,1
24,135.40283493373704,20.62923249920724,0.75,3.2250090278461356,1.75,12.916666666666666,3.5108957388234825,1.0,1
25,135.41225592295328,20.194934764509313,0.72,3.20600866673229,1.72,12.72,3.5723381698825767,1.0,1
26,135.14147758483887,19.831330674931614,0.6923076923076923,3.17087299687184,1.8846153846153846,12.692307692307692,3.505701189263336,1.0,1
27,135.35235478327826,19.47478338360439,0.7037037037037037,3.139430593094637,1.8518518518518519,12.407407407407407,3.734317918375548,1.0,1
28,135.19109619988336,19.12841780059435,0.7142857142857143,3.1042951812780273,1.8571428571428572,12.25,3.757136067348563,1.0,1
29,134.9716101373945,18.818324625092796,0.6896551724137931,3.1123255316175116,1.8620689655172413,12.413793103448276,3.7921628927921436,1.0,1
